Text,Entities
"Climbing Appalachian Mountains, Mount Everest, K2 is a challenging but rewarding adventure.","['Appalachian Mountains', 'Mount Everest', 'K2']"
"The K2, Alps, Rockies offers breathtaking views for hikers.","['K2', 'Alps', 'Rockies']"
People from around the world travel to Country to climb Cascade Range.,['Cascade Range']
"The Andes, Matterhorn, Alps is famous for its unique geological features.","['Andes', 'Matterhorn', 'Alps']"
"Climbing Mont Blanc, Mount Elbrus is a challenging but rewarding adventure.","['Mont Blanc', 'Mount Elbrus']"
Hiking enthusiasts often visit the Denali for its scenic beauty.,['Denali']
The highest peak in Continent is Andes.,['Andes']
"In Country, you can find the majestic K2, Karakoram Range, Himalayas.","['K2', 'Karakoram Range', 'Himalayas']"
Climbing Appalachian Mountains is a challenging but rewarding adventure.,['Appalachian Mountains']
"In Country, you can find the majestic Matterhorn.",['Matterhorn']
"In Country, you can find the majestic Aconcagua, K2.","['Aconcagua', 'K2']"
"The Mount Everest, Matterhorn, Mount Elbrus offers breathtaking views for hikers.","['Mount Everest', 'Matterhorn', 'Mount Elbrus']"
"Climbing Mount Everest, K2, Alps is a challenging but rewarding adventure.","['Mount Everest', 'K2', 'Alps']"
"The Himalayas, Cascade Range is famous for its unique geological features.","['Himalayas', 'Cascade Range']"
"The highest peak in Continent is Andes, Matterhorn.","['Andes', 'Matterhorn']"
"Hiking enthusiasts often visit the Mont Blanc, Karakoram Range for its scenic beauty.","['Mont Blanc', 'Karakoram Range']"
"Exploring the Mount Elbrus, Denali was an unforgettable experience.","['Mount Elbrus', 'Denali']"
"The Appalachian Mountains, Matterhorn is famous for its unique geological features.","['Appalachian Mountains', 'Matterhorn']"
"Climbing Andes, Cascade Range, Appalachian Mountains is a challenging but rewarding adventure.","['Andes', 'Cascade Range', 'Appalachian Mountains']"
"The Andes, Cascade Range, Alps offers breathtaking views for hikers.","['Andes', 'Cascade Range', 'Alps']"
"The Appalachian Mountains, K2 is part of a stunning mountain range.","['Appalachian Mountains', 'K2']"
"In Country, you can find the majestic Andes, Pyrenees, Karakoram Range.","['Andes', 'Pyrenees', 'Karakoram Range']"
Hiking enthusiasts often visit the Alps for its scenic beauty.,['Alps']
"The Alps, Cascade Range, Mount Everest offers breathtaking views for hikers.","['Alps', 'Cascade Range', 'Mount Everest']"
"The K2, Karakoram Range, Rockies is famous for its unique geological features.","['K2', 'Karakoram Range', 'Rockies']"
The Denali offers breathtaking views for hikers.,['Denali']
"People from around the world travel to Country to climb Pyrenees, Karakoram Range, Cascade Range.","['Pyrenees', 'Karakoram Range', 'Cascade Range']"
The Mont Blanc is famous for its unique geological features.,['Mont Blanc']
"In Country, you can find the majestic Himalayas, Denali.","['Himalayas', 'Denali']"
Hiking enthusiasts often visit the Aconcagua for its scenic beauty.,['Aconcagua']
"In Country, you can find the majestic Aconcagua.",['Aconcagua']
"The Pyrenees, Matterhorn, Aconcagua is famous for its unique geological features.","['Pyrenees', 'Matterhorn', 'Aconcagua']"
"People from around the world travel to Country to climb Appalachian Mountains, Karakoram Range.","['Appalachian Mountains', 'Karakoram Range']"
"The highest peak in Continent is Himalayas, Matterhorn.","['Himalayas', 'Matterhorn']"
Hiking enthusiasts often visit the Himalayas for its scenic beauty.,['Himalayas']
"In Country, you can find the majestic Mont Blanc, Alps.","['Mont Blanc', 'Alps']"
Exploring the Matterhorn was an unforgettable experience.,['Matterhorn']
"The highest peak in Continent is Denali, Mont Blanc, Appalachian Mountains.","['Denali', 'Mont Blanc', 'Appalachian Mountains']"
"Hiking enthusiasts often visit the Karakoram Range, Matterhorn for its scenic beauty.","['Karakoram Range', 'Matterhorn']"
"Exploring the Mount Elbrus, Appalachian Mountains, Rockies was an unforgettable experience.","['Mount Elbrus', 'Appalachian Mountains', 'Rockies']"
The Karakoram Range offers breathtaking views for hikers.,['Karakoram Range']
The Andes offers breathtaking views for hikers.,['Andes']
"Climbing Cascade Range, Mount Everest, Mount Elbrus is a challenging but rewarding adventure.","['Cascade Range', 'Mount Everest', 'Mount Elbrus']"
"The Pyrenees, Rockies, Andes is part of a stunning mountain range.","['Pyrenees', 'Rockies', 'Andes']"
"The Karakoram Range, Matterhorn is part of a stunning mountain range.","['Karakoram Range', 'Matterhorn']"
"In Country, you can find the majestic Matterhorn, Appalachian Mountains.","['Matterhorn', 'Appalachian Mountains']"
"Climbing Mount Elbrus, Cascade Range, Mount Everest is a challenging but rewarding adventure.","['Mount Elbrus', 'Cascade Range', 'Mount Everest']"
"The Aconcagua, Mont Blanc is famous for its unique geological features.","['Aconcagua', 'Mont Blanc']"
Exploring the Himalayas was an unforgettable experience.,['Himalayas']
The highest peak in Continent is Mount Everest.,['Mount Everest']
"Climbing Andes, Mount Elbrus, Denali is a challenging but rewarding adventure.","['Andes', 'Mount Elbrus', 'Denali']"
"People from around the world travel to Country to climb Karakoram Range, K2, Alps.","['Karakoram Range', 'K2', 'Alps']"
"The Mount Everest, Rockies, Appalachian Mountains offers breathtaking views for hikers.","['Mount Everest', 'Rockies', 'Appalachian Mountains']"
"The Appalachian Mountains, Rockies is famous for its unique geological features.","['Appalachian Mountains', 'Rockies']"
The Cascade Range is famous for its unique geological features.,['Cascade Range']
"Hiking enthusiasts often visit the Aconcagua, Mont Blanc, Denali for its scenic beauty.","['Aconcagua', 'Mont Blanc', 'Denali']"
"Exploring the Pyrenees, Himalayas, Alps was an unforgettable experience.","['Pyrenees', 'Himalayas', 'Alps']"
"The highest peak in Continent is Matterhorn, Andes, Pyrenees.","['Matterhorn', 'Andes', 'Pyrenees']"
"The Mount Everest, Mont Blanc is famous for its unique geological features.","['Mount Everest', 'Mont Blanc']"
